,DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,NR_TURNO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,TP_ABRANGENCIA,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,CD_CARGO,DS_CARGO,SQ_CANDIDATO,NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_SOCIAL_CANDIDATO,CD_SITUACAO_CANDIDATURA,DS_SITUACAO_CANDIDATURA,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,TP_AGREMIACAO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SQ_COLIGACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,CD_SIT_TOT_TURNO,DS_SIT_TOT_TURNO,ST_VOTO_EM_TRANSITO,QT_VOTOS_NOMINAIS
4524470,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25135,PAULISTA,146,1,Presidente,280000602500,51,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,51,PATRI,Patriota,280000050072,PARTIDO ISOLADO,PATRI,4,NÃO ELEITO,N,1167
4524500,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25410,SALGADINHO,88,1,Presidente,280000602500,51,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,51,PATRI,Patriota,280000050072,PARTIDO ISOLADO,PATRI,4,NÃO ELEITO,N,25
4525200,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24953,OROCÓ,77,1,Presidente,280000602500,51,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,51,PATRI,Patriota,280000050072,PARTIDO ISOLADO,PATRI,4,NÃO ELEITO,N,52
4525918,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24996,PALMARES,37,1,Presidente,280000602500,51,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,51,PATRI,Patriota,280000050072,PARTIDO ISOLADO,PATRI,4,NÃO ELEITO,N,957
4532079,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24910,OLINDA,117,1,Presidente,280000618462,19,ALVARO FERNANDES DIAS,ALVARO DIAS,#NULO#,12,APTO,2,DEFERIDO,Coligação,19,PODE,Podemos,280000050478,MUDANÇA DE VERDADE,PODE / PRP / PSC / PTC,4,NÃO ELEITO,N,171
4532810,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23272,BARREIROS,42,1,Presidente,280000618462,19,ALVARO FERNANDES DIAS,ALVARO DIAS,#NULO#,12,APTO,2,DEFERIDO,Coligação,19,PODE,Podemos,280000050478,MUDANÇA DE VERDADE,PODE / PRP / PSC / PTC,4,NÃO ELEITO,N,16
4532841,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23434,BOM JARDIM,33,1,Presidente,280000618462,19,ALVARO FERNANDES DIAS,ALVARO DIAS,#NULO#,12,APTO,2,DEFERIDO,Coligação,19,PODE,Podemos,280000050478,MUDANÇA DE VERDADE,PODE / PRP / PSC / PTC,4,NÃO ELEITO,N,46
4533573,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24392,INAJÁ,63,1,Presidente,280000618462,19,ALVARO FERNANDES DIAS,ALVARO DIAS,#NULO#,12,APTO,2,DEFERIDO,Coligação,19,PODE,Podemos,280000050478,MUDANÇA DE VERDADE,PODE / PRP / PSC / PTC,4,NÃO ELEITO,N,4
4533585,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23060,XEXÉU,38,1,Presidente,280000618462,19,ALVARO FERNANDES DIAS,ALVARO DIAS,#NULO#,12,APTO,2,DEFERIDO,Coligação,19,PODE,Podemos,280000050478,MUDANÇA DE VERDADE,PODE / PRP / PSC / PTC,4,NÃO ELEITO,N,7
4537164,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,26271,VITÓRIA DE SANTO ANTÃO,18,1,Presidente,280000618462,19,ALVARO FERNANDES DIAS,ALVARO DIAS,#NULO#,12,APTO,2,DEFERIDO,Coligação,19,PODE,Podemos,280000050478,MUDANÇA DE VERDADE,PODE / PRP / PSC / PTC,4,NÃO ELEITO,N,134
4537165,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24910,OLINDA,100,1,Presidente,280000618462,19,ALVARO FERNANDES DIAS,ALVARO DIAS,#NULO#,12,APTO,2,DEFERIDO,Coligação,19,PODE,Podemos,280000050478,MUDANÇA DE VERDADE,PODE / PRP / PSC / PTC,4,NÃO ELEITO,N,162
4537178,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25313,RECIFE,150,1,Presidente,280000618462,19,ALVARO FERNANDES DIAS,ALVARO DIAS,#NULO#,12,APTO,2,DEFERIDO,Coligação,19,PODE,Podemos,280000050478,MUDANÇA DE VERDADE,PODE / PRP / PSC / PTC,4,NÃO ELEITO,N,210
4537185,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23990,CUPIRA,86,1,Presidente,280000618462,19,ALVARO FERNANDES DIAS,ALVARO DIAS,#NULO#,12,APTO,2,DEFERIDO,Coligação,19,PODE,Podemos,280000050478,MUDANÇA DE VERDADE,PODE / PRP / PSC / PTC,4,NÃO ELEITO,N,20
4537200,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,26212,VERDEJANTE,75,1,Presidente,280000618462,19,ALVARO FERNANDES DIAS,ALVARO DIAS,#NULO#,12,APTO,2,DEFERIDO,Coligação,19,PODE,Podemos,280000050478,MUDANÇA DE VERDADE,PODE / PRP / PSC / PTC,4,NÃO ELEITO,N,5
4537209,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23370,BEZERROS,35,1,Presidente,280000618462,19,ALVARO FERNANDES DIAS,ALVARO DIAS,#NULO#,12,APTO,2,DEFERIDO,Coligação,19,PODE,Podemos,280000050478,MUDANÇA DE VERDADE,PODE / PRP / PSC / PTC,4,NÃO ELEITO,N,52
4537897,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25950,TACARATU,89,1,Presidente,280000618462,19,ALVARO FERNANDES DIAS,ALVARO DIAS,#NULO#,12,APTO,2,DEFERIDO,Coligação,19,PODE,Podemos,280000050478,MUDANÇA DE VERDADE,PODE / PRP / PSC / PTC,4,NÃO ELEITO,N,8
4537898,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24210,GLÓRIA DO GOITÁ,21,1,Presidente,280000618462,19,ALVARO FERNANDES DIAS,ALVARO DIAS,#NULO#,12,APTO,2,DEFERIDO,Coligação,19,PODE,Podemos,280000050478,MUDANÇA DE VERDADE,PODE / PRP / PSC / PTC,4,NÃO ELEITO,N,24
4657445,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25496,SANTA CRUZ DO CAPIBARIBE,109,1,Presidente,280000624082,54,JOÃO VICENTE FONTELLA GOULART,JOÃO GOULART FILHO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,54,PPL,Partido Pátria Livre,280000050638,PARTIDO ISOLADO,PPL,4,NÃO ELEITO,N,8
4657475,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24295,IATI,136,1,Presidente,280000624082,54,JOÃO VICENTE FONTELLA GOULART,JOÃO GOULART FILHO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,54,PPL,Partido Pátria Livre,280000050638,PARTIDO ISOLADO,PPL,4,NÃO ELEITO,N,1
4658921,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24651,JUPI,92,1,Presidente,280000624082,54,JOÃO VICENTE FONTELLA GOULART,JOÃO GOULART FILHO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,54,PPL,Partido Pátria Livre,280000050638,PARTIDO ISOLADO,PPL,4,NÃO ELEITO,N,2
4660390,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,26018,TEREZINHA,61,1,Presidente,280000624082,54,JOÃO VICENTE FONTELLA GOULART,JOÃO GOULART FILHO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,54,PPL,Partido Pátria Livre,280000050638,PARTIDO ISOLADO,PPL,4,NÃO ELEITO,N,1
4664780,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24996,PALMARES,37,1,Presidente,280000624082,54,JOÃO VICENTE FONTELLA GOULART,JOÃO GOULART FILHO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,54,PPL,Partido Pátria Livre,280000050638,PARTIDO ISOLADO,PPL,4,NÃO ELEITO,N,7
4664794,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25313,RECIFE,5,1,Presidente,280000624082,54,JOÃO VICENTE FONTELLA GOULART,JOÃO GOULART FILHO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,54,PPL,Partido Pátria Livre,280000050638,PARTIDO ISOLADO,PPL,4,NÃO ELEITO,N,15
4665518,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25852,MOREILÂNDIA,79,1,Presidente,280000624082,54,JOÃO VICENTE FONTELLA GOULART,JOÃO GOULART FILHO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,54,PPL,Partido Pátria Livre,280000050638,PARTIDO ISOLADO,PPL,4,NÃO ELEITO,N,1
4668418,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25259,POMBOS,102,1,Presidente,280000624082,54,JOÃO VICENTE FONTELLA GOULART,JOÃO GOULART FILHO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,54,PPL,Partido Pátria Livre,280000050638,PARTIDO ISOLADO,PPL,4,NÃO ELEITO,N,4
4669882,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24872,MORENO,14,1,Presidente,280000624082,54,JOÃO VICENTE FONTELLA GOULART,JOÃO GOULART FILHO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,54,PPL,Partido Pátria Livre,280000050638,PARTIDO ISOLADO,PPL,4,NÃO ELEITO,N,5
4669886,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25313,RECIFE,6,1,Presidente,280000624082,54,JOÃO VICENTE FONTELLA GOULART,JOÃO GOULART FILHO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,54,PPL,Partido Pátria Livre,280000050638,PARTIDO ISOLADO,PPL,4,NÃO ELEITO,N,20
4671372,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23191,ANGELIM,116,1,Presidente,280000624082,54,JOÃO VICENTE FONTELLA GOULART,JOÃO GOULART FILHO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,54,PPL,Partido Pátria Livre,280000050638,PARTIDO ISOLADO,PPL,4,NÃO ELEITO,N,1
4671373,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25313,RECIFE,7,1,Presidente,280000624082,54,JOÃO VICENTE FONTELLA GOULART,JOÃO GOULART FILHO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,54,PPL,Partido Pátria Livre,280000050638,PARTIDO ISOLADO,PPL,4,NÃO ELEITO,N,18
4676433,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23477,BREJÃO,92,1,Presidente,280000624082,54,JOÃO VICENTE FONTELLA GOULART,JOÃO GOULART FILHO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,54,PPL,Partido Pátria Livre,280000050638,PARTIDO ISOLADO,PPL,4,NÃO ELEITO,N,1
4677179,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23124,JUCATI,92,1,Presidente,280000624082,54,JOÃO VICENTE FONTELLA GOULART,JOÃO GOULART FILHO,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,54,PPL,Partido Pátria Livre,280000050638,PARTIDO ISOLADO,PPL,4,NÃO ELEITO,N,1
4735374,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24554,ITAQUITINGA,125,1,Presidente,280000618462,19,ALVARO FERNANDES DIAS,ALVARO DIAS,#NULO#,12,APTO,2,DEFERIDO,Coligação,19,PODE,Podemos,280000050478,MUDANÇA DE VERDADE,PODE / PRP / PSC / PTC,4,NÃO ELEITO,N,18
4735387,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25232,POÇÃO,55,1,Presidente,280000618462,19,ALVARO FERNANDES DIAS,ALVARO DIAS,#NULO#,12,APTO,2,DEFERIDO,Coligação,19,PODE,Podemos,280000050478,MUDANÇA DE VERDADE,PODE / PRP / PSC / PTC,4,NÃO ELEITO,N,9
4735389,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23124,JUCATI,92,1,Presidente,280000618462,19,ALVARO FERNANDES DIAS,ALVARO DIAS,#NULO#,12,APTO,2,DEFERIDO,Coligação,19,PODE,Podemos,280000050478,MUDANÇA DE VERDADE,PODE / PRP / PSC / PTC,4,NÃO ELEITO,N,6
4735408,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23175,AMARAJI,31,1,Presidente,280000618462,19,ALVARO FERNANDES DIAS,ALVARO DIAS,#NULO#,12,APTO,2,DEFERIDO,Coligação,19,PODE,Podemos,280000050478,MUDANÇA DE VERDADE,PODE / PRP / PSC / PTC,4,NÃO ELEITO,N,16
4736114,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24538,ITAPETIM,99,1,Presidente,280000618462,19,ALVARO FERNANDES DIAS,ALVARO DIAS,#NULO#,12,APTO,2,DEFERIDO,Coligação,19,PODE,Podemos,280000050478,MUDANÇA DE VERDADE,PODE / PRP / PSC / PTC,4,NÃO ELEITO,N,11
4736887,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23477,BREJÃO,92,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,1
4736892,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23574,CABO DE SANTO AGOSTINHO,121,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,18
4736893,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25313,RECIFE,150,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,14
4736903,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23205,ARAÇOIABA,85,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,3
4737613,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23574,CABO DE SANTO AGOSTINHO,15,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,11
4737627,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24775,LIMOEIRO,24,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,3
4738346,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,26310,ABREU E LIMA,119,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,16
4738379,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,26336,ITAPISSUMA,131,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,3
4738386,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23957,CORTÊS,28,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,1
4739078,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25119,PAUDALHO,17,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,2
4739085,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23299,BELÉM DE MARIA,43,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,5
4739089,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25879,SOLIDÃO,98,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,2
4739097,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24171,GAMELEIRA,28,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,2
4739099,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25437,SALGUEIRO,75,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,1
4741330,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25674,SÃO JOSÉ DA COROA GRANDE,42,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,1
4742811,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23493,BREJINHO,99,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,1
4742823,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24155,FREI MIGUELINHO,46,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,1
4742826,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,24490,ITAÍBA,143,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,2
4743538,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25836,SIRINHAÉM,26,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,2
4743544,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23043,SANTA CRUZ DA BAIXA VERDE,71,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,2
4743550,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23752,CAPOEIRAS,130,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,2
4744283,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25178,PESQUEIRA,55,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,3
4744288,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,23337,BELO JARDIM,45,1,Presidente,280000624085,27,JOSE MARIA EYMAEL,EYMAEL,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,27,DC,Democracia Cristã,280000050639,PARTIDO ISOLADO,DC,4,NÃO ELEITO,N,9
4745041,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25739,SÃO LOURENÇO DA MATA,13,1,Presidente,280000601016,50,GUILHERME CASTRO BOULOS,GUILHERME BOULOS,#NULO#,12,APTO,2,DEFERIDO,Coligação,50,PSOL,Partido Socialismo e Liberdade,280000050035,VAMOS SEM MEDO DE MUDAR O BRASIL,PSOL / PCB,4,NÃO ELEITO,N,302
4745042,11/09/2022,04:50:46,2018,2,Eleição Ordinária,1,295,ELEIÇÃO GERAL FEDERAL 2018,07/10/2018,F,PE,BR,BRASIL,25232,POÇÃO,55,1,Presidente,280000601016,50,GUILHERME CASTRO BOULOS,GUILHERME BOULOS,#NULO#,12,APTO,2,DEFERIDO,Coligação,50,PSOL,Partido Socialismo e Liberdade,280000050035,VAMOS SEM MEDO DE MUDAR O BRASIL,PSOL / PCB,4,NÃO ELEITO,N,14
